length_stay,prob_length_stay
1,0.01
2,0.03
3,0.5
4,0.3
5,0.1
6,0.03
7,0.01
8,0.000215054
9,0.000215054
10,0.000215054
11,0.000215054
12,0.000215054
13,0.000215054
14,0.000215054
15,0.000215054
16,0.000215054
17,0.000215054
18,0.000215054
19,0.000215054
20,0.000215054
21,0.000215054
22,0.000215054
23,0.000215054
24,0.000215054
25,0.000215054
26,0.000215054
27,0.000215054
28,0.000215054
29,0.000215054
30,0.000215054
31,0.000215054
32,0.000215054
33,0.000215054
34,0.000215054
35,0.000215054
36,0.000215054
37,0.000215054
38,0.000215054
39,0.000215054
40,0.000215054
41,0.000215054
42,0.000215054
43,0.000215054
44,0.000215054
45,0.000215054
46,0.000215054
47,0.000215054
48,0.000215054
49,0.000215054
50,0.000215054
51,0.000215054
52,0.000215054
53,0.000215054
54,0.000215054
55,0.000215054
56,0.000215054
57,0.000215054
58,0.000215054
59,0.000215054
60,0.000215054
61,0.000215054
62,0.000215054
63,0.000215054
64,0.000215054
65,0.000215054
66,0.000215054
67,0.000215054
68,0.000215054
69,0.000215054
70,0.000215054
71,0.000215054
72,0.000215054
73,0.000215054
74,0.000215054
75,0.000215054
76,0.000215054
77,0.000215054
78,0.000215054
79,0.000215054
80,0.000215054
81,0.000215054
82,0.000215054
83,0.000215054
84,0.000215054
85,0.000215054
86,0.000215054
87,0.000215054
88,0.000215054
89,0.000215054
90,0.000215054
91,0.000215054
92,0.000215054
93,0.000215054
94,0.000215054
95,0.000215054
96,0.000215054
97,0.000215054
98,0.000215054
99,0.000215054
100,0.000215032
